username;G_totalXp;G_accuracy;G_gamesPlayed;G_headshots;G_hits;G_misses;G_kdRatio;G_suicides;G_shots;G_scorePerMinute;G_hkRatio;G_wgRatio;contracts;kills;downs;deaths;kdRatio;revives;score;scorePerMinute;timePlayed;gamesPlayed;topFive;topTen;topTwentyFive;wins;averageLifetime;wgRatio;killsPerGame;downsPerGame
unrational#9919207;21978000.0;0.27261456847190857;19713.0;51424.0;34965.0;93293.0;2.7262630462646484;40524.0;128258.0;36935.77424023155;0.2682258931039699;0.015674935321868817;13390.0;110789.0;112610.0;33067.0;3.3504400157256478;4718.0;81752976.0;459.5307766677409;10674320.0;11608.0;2888.0;4170.0;7124.0;1616.0;919.5658166781529;0.13921433494141972;9.544193659545142;9.701068228807719
BagelSquare;21978000.0;0.20892047882080078;15661.0;40619.0;187667.0;710603.0;1.7542333602905273;15465.0;898270.0;4072.6367686294147;0.22052651866812167;0.11697848157844326;11663.0;91888.0;92209.0;26681.0;3.4439488774783555;4232.0;77528353.0;461.79783927866754;10073025.0;8099.0;3010.0;4303.0;6898.0;1619.0;1243.7368810964317;0.1999012223731325;11.345598222002716;11.385232744783307
vG#6137733;15893145.0;0.18302111327648163;7742.0;13906.0;10180.0;45442.0;3.2077794075012207;20656.0;55622.0;64986.23821397959;0.22694410444716442;0.0162748643761302;12705.0;60899.0;60864.0;18188.0;3.3483065757642403;3952.0;57796177.0;394.76986627481534;8784284.0;7756.0;3059.0;4134.0;6147.0;1581.0;1132.5791645177926;0.20384218669417226;7.851856627127385;7.847343991748324
saggyman#4601955;19606495.0;0.30210140347480774;5309.0;9579.0;9934.0;22949.0;4.513157844543457;6248.0;32883.0;22887.539590575514;0.20686750890832523;0.04087398756828028;5758.0;35847.0;38261.0;6520.0;5.498006134969325;3150.0;36261683.0;433.96432626156167;5013548.0;3396.0;2430.0;2967.0;3585.0;1522.0;1476.3097762073028;0.44817432273262664;10.55565371024735;11.266489988221437
minenmoritz#2824891;20823076.0;0.23113781213760376;13989.0;37129.0;116254.0;386710.0;3.6168081760406494;24329.0;502964.0;4115.129087188838;0.24963357403149247;0.08506683823003788;7391.0;65835.0;66923.0;12850.0;5.123346303501945;3875.0;63050817.0;420.9902858557109;8986072.0;6709.0;3160.0;4227.0;5537.0;1523.0;1339.4055746012818;0.22700849605008197;9.812937844686243;9.975108063794902
nYakir_#4066522;21978000.0;0.2084135115146637;7373.0;22259.0;52312.0;198689.0;2.9978835582733154;9861.0;251001.0;11338.383820674973;0.27094237651240355;0.04896243048962431;11857.0;62767.0;66841.0;14066.0;4.462320489122707;3567.0;56259671.0;490.84035017438197;6877145.0;6057.0;2540.0;3384.0;4903.0;1488.0;1135.4044906719498;0.2456661713719663;10.362720818887238;11.035331021958065
BigNeo#5192345;11303407.0;0.32130879163742065;13210.0;37907.0;156532.0;330638.0;2.84566593170166;4239.0;487170.0;6411.831821690467;0.22356229984843035;0.093111279333838;6842.0;103425.0;93894.0;20032.0;5.162989217252396;3535.0;83867745.0;546.4662106975901;9208373.0;9401.0;2554.0;3606.0;6036.0;1483.0;979.5099457504521;0.15774917561961493;11.001489203276247;9.987660887139667
pressure#2943062;257985.0;0.2796771824359894;10572.0;42902.0;128086.0;329892.0;3.89349365234375;6108.0;457978.0;10298.505157211317;0.24212563985348978;0.06564510026485054;9164.0;131553.0;139475.0;20278.0;6.487474109872768;4108.0;89384002.0;660.8942005396543;8114824.0;7588.0;2473.0;3457.0;5790.0;1480.0;1069.4285714285713;0.19504480759093304;17.336979441222983;18.3809963099631
malvingill#9693869;11380882.0;0.18712270259857178;9789.0;14812.0;55175.0;239685.0;1.954779028892517;11769.0;294860.0;6897.912441210627;0.21632200023367215;0.03851261620185923;12653.0;49831.0;53430.0;18330.0;2.7185488270594655;4413.0;45045918.0;299.32771746750456;9029418.0;6009.0;3062.0;4000.0;5472.0;1490.0;1502.6490264603096;0.24796139124646363;8.292727575303712;8.891662506240639
Bir_Hayat#6532438;18702063.0;0.19091340899467468;18608.0;35421.0;11644.0;49347.0;2.7892370223999023;17377.0;60991.0;62673.96985584453;0.2548090065462916;0.004675408426483233;25502.0;122069.0;126595.0;40763.0;2.9946029487525454;6715.0;100372076.0;397.7011812448895;15142838.0;12411.0;3792.0;5986.0;11672.0;1475.0;1220.1142534848118;0.11884618483603256;9.835549109660786;10.200225606316977
sergeantsneaky#4993793;21978000.0;0.22587734460830688;10125.0;14481.0;9455.0;32404.0;3.3931233882904053;3857.0;41859.0;64268.884359332624;0.2052295918367347;0.010074074074074074;8313.0;65735.0;67404.0;18658.0;3.523153607031836;5399.0;61922645.0;342.4050420011629;10850771.0;9398.0;3578.0;5190.0;7158.0;1468.0;1154.5829963822089;0.15620344754203022;6.994573313470951;7.172164290274527
刈り上げ界のカリボー#4611914;10321319.0;0.18417224287986755;14373.0;21055.0;139765.0;619117.0;1.8268754482269287;11054.0;758882.0;5927.492021112501;0.16328034121752616;0.058303764001948095;14205.0;87973.0;83133.0;28538.0;3.0826617142056207;4066.0;81884265.0;398.79872281961536;12319638.0;12103.0;3375.0;5145.0;8766.0;1357.0;1017.8995290423862;0.1121209617450219;7.268693712302735;6.8687928612740645
django#5614432;6241866.0;0.16398385167121887;10151.0;10478.0;77943.0;397366.0;1.1018561124801636;13785.0;475309.0;2751.6053765977927;0.1978735860102355;0.07122450990050241;20246.0;20373.0;23053.0;14844.0;1.3724737267582863;3888.0;33868075.0;231.44206785799707;8780100.0;7317.0;2922.0;3964.0;5559.0;1317.0;1199.958999589996;0.17999179991799918;2.7843378433784336;3.1506081727483943
Brandon#2392686;21978000.0;0.33745077252388;3742.0;9976.0;6857.0;13463.0;6.004642963409424;353.0;20320.0;153481.32478632478;0.2204007688398913;0.011758417958311064;8651.0;41104.0;39630.0;6735.0;6.103043801039346;1671.0;44376272.0;684.3059588811371;3890915.0;2744.0;1844.0;2160.0;2638.0;1326.0;1417.9719387755101;0.48323615160349853;14.979591836734693;14.442419825072886
tony wh1te#4150630;21978000.0;0.27561458945274353;15396.0;30191.0;102920.0;270500.0;2.9868977069854736;10038.0;373420.0;9077.95264670246;0.20280927558039552;0.05787217459080281;17368.0;107676.0;106657.0;27928.0;3.8554855342308794;2996.0;89672899.0;476.1689946142657;11299295.0;11077.0;2888.0;4283.0;7287.0;1283.0;1020.0681592488941;0.11582558454455177;9.72068249526045;9.628690078541121
Lapaxx#7549728;21978000.0;0.22923380136489868;11198.0;14459.0;47522.0;159786.0;2.558410167694092;26109.0;207308.0;8533.747769524796;0.1821789912684113;0.03009465976067155;11672.0;65192.0;64062.0;19101.0;3.4130150253913407;4080.0;59427854.0;380.6309962114864;9367790.0;8053.0;2603.0;3748.0;5977.0;1270.0;1163.267105426549;0.15770520302992674;8.095368185769278;7.95504780827021
Bombastic#7870958;13999934.0;0.18841665983200073;15275.0;18900.0;48766.0;210054.0;1.9516223669052124;14373.0;258820.0;9671.355830985916;0.18952308371104248;0.04098199672667758;16660.0;76466.0;78941.0;29631.0;2.580608146873207;6336.0;82125373.0;356.3146022014104;13829134.0;13535.0;3494.0;5336.0;9088.0;1271.0;1021.7313631326191;0.09390469154045068;5.649501292944219;5.8323605467306985
twitch_elatoo#2608520;17318670.0;0.25671645998954773;16780.0;38646.0;51896.0;150257.0;3.309302568435669;26821.0;202153.0;27793.145020360556;0.2410914807605929;0.015554231227651967;16714.0;127604.0;93638.0;32441.0;3.933417588853611;3170.0;101248479.0;577.3376266990018;10522281.0;10610.0;2211.0;3263.0;5907.0;1259.0;991.7324222431669;0.11866163996229971;12.026767200754005;8.82544769085768
rayckones#2402786;16070955.0;0.08693456649780273;14354.0;25565.0;21350.0;224237.0;2.8075525760650635;17811.0;245587.0;11762.080843073993;0.19242204141232436;0.039919186289536016;10927.0;109513.0;108273.0;29917.0;3.660560885115486;3932.0;85150754.0;457.78002220513616;11160481.0;12452.0;2589.0;4002.0;7414.0;1241.0;896.2801959524575;0.0996627047863797;8.794812078380984;8.695229681978798
jesus2b#1012410;21978000.0;0.11983697861433029;21356.0;5636.0;5675.0;41681.0;1.0082530975341797;29713.0;47356.0;104284.3128773049;0.134501109705749;0.006134107510769807;42270.0;40469.0;39461.0;38686.0;1.0460890244532906;4926.0;123893704.0;300.1532797651886;24766087.0;19283.0;7145.0;11353.0;16434.0;1210.0;1284.3482341959239;0.06274957216200798;2.098687963491158;2.0464139397396672
Etsuu1#3678285;21978000.0;0.19702890515327454;8889.0;14008.0;73716.0;300422.0;1.7973287105560303;9388.0;374138.0;7493.40122256571;0.20331799642945267;0.06592417594780066;15729.0;50721.0;50277.0;20806.0;2.4378064019994232;3349.0;52841072.0;368.9514434420339;8593175.0;7442.0;2673.0;3734.0;5854.0;1203.0;1154.6862402579952;0.16165009406073635;6.815506584251545;6.755845202902446
